S No.,Paper Name,Authors,Key Idea + Method Used,Contribution,Research Gap,Relation to Your Work,Citation
1,Uncertainty-Aware Dynamic Fusion for Multimodal Clinical Prediction Tasks,"Jiayu Guo, Ying Cheng, Wen He, Yuejie Zhang, Rui Feng, Xiaobo Zhang",Proposes Uncertainty-Aware Weighting (UAW) — modality importance is dynamically adjusted based on per-modality reliability/uncertainty at inference time. Coupled with Expert Ensemble Fusion (EEF) using self-attention and modality-specific FFNs to preserve critical cross-modal information. Applied to ICU clinical prediction tasks.,First dynamic fusion framework for clinical multimodal data that weights modalities by their uncertainty rather than fixed importance; demonstrates improved accuracy and robustness on phenotype classification and mortality prediction tasks using heterogeneous ICU data.,"Does not address small dataset regimes or adversarial content (e.g., memes); uncertainty estimation relies on clinical data distributions and does not extend to vision-language tasks with semantic incongruence.","Directly inspires the uncertainty-aware gating network in AdaptiveFusionModelV3, where per-modality softmax entropy is fed into the gating network alongside CLIP similarity features to produce confidence-aware alpha weights.","Guo J., Cheng Y., He W., Zhang Y., Feng R., Zhang X. (2024). Uncertainty-Aware Dynamic Fusion for Multimodal Clinical Prediction Tasks. ICASSP 2025, IEEE."
2,DWCMA: A Vision-Language Fusion Method with Dynamic Weight and Cross-Modal Attention Mechanism,"Jiaqi Li, Hui Gao","Introduces Dynamic Weight and Cross-Modal Attention (DWCMA) framework combining: (1) Cross-Modal Attention (CMA) that injects low-level features from one modality into another via attention, and (2) Dynamic Weight (DW) mechanism that adaptively adjusts image vs. text importance based on task demands. Integrated with CLIP for vision-language retrieval.",Demonstrates that combining static cross-modal attention with a dynamic weighting module on top of CLIP outperforms single-modal and static-fusion baselines on vision-language retrieval tasks; ablation validates both CMA and DW components independently.,"Evaluated on retrieval tasks, not classification of adversarial or hateful content; dynamic weighting is task-level, not sample-level, so it does not adapt per-instance based on modality confidence or semantic incongruence.",Provides conceptual grounding for combining cross-modal attention with dynamic weight allocation — directly reflected in your CrossModalAttentionV2 module and the learned alpha gating over image and text CLIP features.,"Li J., Gao H. (2024). DWCMA: A Vision-Language Fusion Method with Dynamic Weight and Cross-Modal Attention Mechanism. University of Electronic Science and Technology of China, IEEE."
3,Topology-Aware Dynamic Reweighting for Distribution Shifts on Graph,"Weihuang Zheng, Jiashuo Liu, Jiaxing Li, Jiayun Wu, Peng Cui, Youyong Kong","TAR framework dynamically adjusts sample weights during training by propagating gradient flow through graph edges, leveraging inherent graph topology to address OOD distribution shifts in node classification. Avoids strict invariance assumptions of prior methods by providing distributional robustness guarantees theoretically.",First method to incorporate graph topology into sample reweighting for OOD generalization; provides theoretical proof of distributional robustness; achieves SOTA on node classification OOD benchmarks (ICML 2025).,"Specific to graph-structured data; dynamic reweighting operates on structural topology, not on semantic modality-level signals or per-sample difficulty in multimodal vision-language settings.",Provides theoretical motivation for using dynamic sample reweighting (as opposed to static loss weights) to improve robustness under distributional shifts — analogous to the distributional challenge of hateful vs. benign meme imbalance.,"Zheng W., Liu J., Li J., Wu J., Cui P., Kong Y. (2025). Topology-Aware Dynamic Reweighting for Distribution Shifts on Graph. Proceedings of the 42nd ICML, PMLR 267."
4,A Dynamic Reweighting Strategy for Fair Federated Learning,"Zhiyuan Zhao, Gauri Joshi","DRFL dynamically adjusts per-client aggregation weights on the server side to improve fairness across heterogeneous federated clients. Combines dynamic weight adjustment with a biased client selection strategy. Does not alter local optimizers, only modifies global aggregation.","Proposes a server-side fairness-aware dynamic reweighting framework for federated learning that outperforms FedAvg and q-FFL; decouples fairness from local training, making it plug-and-play.","Addresses client-level fairness in distributed learning, not sample-level modality reweighting in a centralized multimodal classifier; no relevance to vision-language or adversarial content tasks.","Provides conceptual background on dynamic reweighting as a principled fairness mechanism — analogous to using alpha to fairly weight underperforming modalities (e.g., image modality on text-only hateful memes).","Zhao Z., Joshi G. (2022). A Dynamic Reweighting Strategy for Fair Federated Learning. ICASSP 2022, IEEE. Carnegie Mellon University."
5,A Radar and Camera Cross-Modal Fusion Attention Method for Foreign Object Debris Detection,"Songqi Li, Liangcheng Cai, Peigang Liu, Peng He","FFOD-Net uses parallel multi-receptive-field + channel attention for radar and camera feature extraction, followed by cross-modal attention with dynamic feature enhancement and multiscale detection for FOD detection on airport runways (92–94 GHz radar band).",Achieves 80.55% mAP@0.5 on a novel self-collected FOD dataset; demonstrates that cross-modal attention with dynamic feature enhancement outperforms simple concatenation/summation fusion; presents end-to-end sensor fusion pipeline for safety-critical deployment (IEEE Sensors Journal 2026).,"Domain-specific (radar + camera for object detection); dynamic enhancement is feature-map-level, not a learned scalar gating over modalities; not applicable to text-image semantic fusion for content classification.",Cross-modal attention with dynamic enhancement directly parallels your CrossModalAttentionV2; demonstrates the general principle that learned cross-modal attention outperforms static fusion even for very different modality types.,"Li S., Cai L., Liu P., He P. (2026). A Radar and Camera Cross-Modal Fusion Attention Method for Foreign Object Debris Detection. IEEE Sensors Journal, Vol. 26, No. 4. DOI: 10.1109/JSEN.2026.3652129."
6,Adaptive Multimodal Fusion: Dynamic Attention Allocation for Intent Recognition (DAF / MVCL-DAF),"Bo Hu, Kai Zhang, Yanghai Zhang, Yuyang Ye",Proposes Dynamic-Attention Allocation Fusion (DAF) with an adaptive network that allocates attention both within modalities and across modalities dynamically per sample. Combines with Multi-View Contrastive Learning (MVCL-DAF) where text acts as primary modality and guides audio/visual modules. Each modality infers intent independently; DAF integrates globally.,First method to simultaneously allocate intra- and inter-modal attention dynamically per sample in intent recognition; MVCL component provides contrastive alignment using text as anchor; significantly outperforms SOTA on MIntRec and MIntRec2.0 (AAAI 2025).,Applied to audio-text-vision triplets for intent; contrastive learning uses text as fixed anchor and may not generalise to settings where the image is the primary hate signal; does not handle adversarial image-text incongruence.,The MVCL-DAF contrastive component directly motivates your SupConLoss applied with text and image features as two views. The per-sample dynamic attention allocation mirrors your learned gating network producing sample-wise alpha.,"Hu B., Zhang K., Zhang Y., Ye Y. (2025). Adaptive Multimodal Fusion: Dynamic Attention Allocation for Intent Recognition. AAAI 2025, Association for the Advancement of Artificial Intelligence."
7,Adaptive Cross-Attention Gated Network for Radar-Camera Fusion in BEV Space (ACAGN),"Ji-Yong Lee, Jae-Hyeok Lee, Dong-oh Kang","ACAGN uses deformable cross-attention to align radar and camera BEV features with spatial precision, combined with an adaptive gated network that dynamically filters and prioritises relevant information from each sensor modality. Built on top of RCBEVDet baseline for autonomous driving 3D object detection.",Demonstrates that deformable attention + adaptive gating outperforms naive summation/concatenation in radar-camera fusion on nuScenes; improves stability under diverse environmental conditions (ICACT 2025).,"Spatial fusion of sensor streams; gating is spatial/channel-level not semantic scalar weighting; no semantic incongruence (modalities are always spatially co-registered), unlike meme text-image pairs.",The adaptive gated network design principle (learn what to pass from each modality rather than statically blend) is architecturally analogous to your DynamicGatingNetworkV3 that outputs alpha based on cross-modal feature descriptors.,"Lee J., Lee J., Kang D. (2025). Adaptive Cross-Attention Gated Network for Radar-Camera Fusion in BEV Space. ICACT 2025, IEEE. ETRI, Republic of Korea."
8,Dynamic Loss-Based Sample Reweighting for Improved Large Language Model Pretraining,"Daouda A. Sow, Herbert Woisetschläger, Saikiran Bulusu, Shiqiang Wang, Hans-Arno Jacobsen, Yingbin Liang","Instance-level dynamic reweighting during LLM pretraining: each training sample's weight is adjusted online based on its current loss value, allowing the model to dynamically prioritise more informative samples. Develops theoretical convergence analysis for loss-based reweighting on gradient optimisation. Validated on 7B and 1.4B parameter LLMs.",First formal theoretical characterisation of how loss-based sample reweighting affects convergence bounds in gradient optimisation; achieves faster convergence and improved downstream performance on large LLMs (ICLR 2025).,"Applied to text-only LLM pretraining on static datasets; dynamic weighting is loss-magnitude-driven, not confidence- or modality-uncertainty-driven; does not address multimodal fusion or small adversarial datasets.",Theoretical grounding for dynamic per-sample weighting as a training improvement strategy — relevant to the focal loss formulation and R-Drop used in your V3 training to focus learning on harder/more uncertain samples.,"Sow D.A., Woisetschläger H., Bulusu S., Wang S., Jacobsen H., Liang Y. (2025). Dynamic Loss-Based Sample Reweighting for Improved Large Language Model Pretraining. ICLR 2025. arXiv:2502.06733."
9,DriftShield: Autonomous Fraud Detection via Actor-Critic Reinforcement Learning with Dynamic Feature Reweighting,"Jialei Cao, Wenxia Zheng, Yao Ge, Jiyuan Wang",Uses Soft Actor-Critic (SAC) reinforcement learning with continuous action spaces to simultaneously optimise detection thresholds and feature importance weights. Dynamic feature reweighting adapts to concept drift; adaptive experience replay with sliding windows + prioritised sampling prevents catastrophic forgetting; entropy-driven exploration balances known/emerging patterns.,"First application of continuous-action SAC RL to fraud detection; 18% higher detection rate, 57% faster adaptation to concept drift; cumulative detection rate of 0.849 (+7.7% over SOTA) (IEEE Open Journal of Computer Science, 2025).","Sequential financial transaction setting; dynamic reweighting is RL-driven and adapts over time to distributional drift, which is a fundamentally different regime from static multimodal fusion; not applicable to vision-language meme classification.",Entropy-driven exploration and dynamic feature importance weighting conceptually parallels your entropy regularisation on alpha and the dynamic gating mechanism; demonstrates the general value of entropy-based exploration signals in adaptive systems.,"Cao J., Zheng W., Ge Y., Wang J. (2025). DriftShield: Autonomous Fraud Detection via Actor-Critic Reinforcement Learning With Dynamic Feature Reweighting. IEEE Open Journal of Computer Science. DOI: 10.1109/OJCS.2025.3587001."
10,DynCIM: Dynamic Curriculum for Imbalanced Multimodal Learning,"Chengxuan Qian, Kai Han, Jiaxin Liu, Zhenlong Yuan, Zhengzhong Zhu, Jingchao Wang, Chongwen Lyu, Jun Chen, Zhe Liu","DynCIM combines: (1) sample-level curriculum based on prediction deviation, consistency, and stability to dynamically assess difficulty; (2) modality-level curriculum measuring global and local modality contributions; (3) gating-based dynamic fusion to adaptively adjust modality weights. Applied to bimodal and trimodal benchmarks.","First framework to simultaneously address both sample-level and modality-level imbalance in multimodal learning; consistently outperforms SOTA on 6 benchmarks including Kinetics-Sounds and CMU-MOSEI; demonstrates modality-specific curriculum ordering improves convergence (CVPR-adjacent, 2025).","Curriculum difficulty is computed from prediction deviation — requires warm-up training; does not leverage a pretrained alignment signal (e.g., CLIP cosine similarity) for zero-cost difficulty estimation; tested on balanced task datasets, not adversarially curated hate detection.","Directly inspires curriculum.py — your implementation uses CLIP cosine similarity as a difficulty proxy (low sim = hard adversarial meme) to build a phase-1 easy subset, mirroring DynCIM's sample-level curriculum logic. The gating-based fusion also validates your alpha-based dynamic weighting.","Qian C., Han K., Liu J., Yuan Z., Zhu Z., Wang J., Lyu C., Chen J., Liu Z. (2025). DynCIM: Dynamic Curriculum for Imbalanced Multimodal Learning. arXiv:2503.06456v3."
