id,text_static,prob_hateful_static,predicted_label_static,confidence_static,dominant_modality_static,alpha_mean_static,text_dynamic,prob_hateful_dynamic,predicted_label_dynamic,confidence_dynamic,dominant_modality_dynamic,alpha_mean_dynamic,label_changed,prob_delta,conf_delta
1284,muslims offend me,0.1299,0,0.8701,image,0.5041,muslims offend me,0.9215,1,0.9215,image,0.7591,True,0.7916,0.0514
1324,the great train robbers,0.0141,0,0.9859,image,0.5041,the great train robbers,0.7937,1,0.7937,image,0.5586,True,0.7796,-0.19220000000000004
1325,when your world cup team scores a goal,0.0207,0,0.9793,image,0.5041,when your world cup team scores a goal,0.0179,0,0.9821,image,0.9272,False,-0.0028000000000000004,0.0028000000000000247
1359,area 51 naruto runners naruto runners let me iiiiiiiiiiiiin! let me in,0.0219,0,0.9781,image,0.5041,area 51 naruto runners naruto runners let me iiiiiiiiiiiiin! let me in,0.0375,0,0.9625,image,0.843,False,0.0156,-0.015599999999999947
1364,and that was the last nativity play my son was invited to take part in,0.9723,1,0.9723,image,0.5041,and that was the last nativity play my son was invited to take part in,0.4453,0,0.5547,image,0.8552,True,-0.5270000000000001,-0.4176000000000001
1459,trust me... ...they're re all terrorists,0.402,0,0.598,image,0.5041,trust me... ...they're re all terrorists,0.0804,0,0.9196,image,0.9004,False,-0.3216,0.3216
1627,jew jerky: leave out in the sun until all moisture is gone store in a cool dark place for 3 days,0.6453,1,0.6453,image,0.5041,jew jerky: leave out in the sun until all moisture is gone store in a cool dark place for 3 days,0.4694,0,0.5306,image,0.7803,True,-0.1759,-0.11470000000000002
1634,"""aye, tone! why would dey delouse 'em if dey was just gonna whack 'em?!""",0.0039,0,0.9961,image,0.5041,"""aye, tone! why would dey delouse 'em if dey was just gonna whack 'em?!""",0.0667,0,0.9333,image,0.9145,False,0.0628,-0.06279999999999997
1836,can you hear me at the back?,0.2958,0,0.7042,image,0.5041,can you hear me at the back?,0.0183,0,0.9817,image,0.8989,False,-0.2775,0.27749999999999997
1865,i'm this pretty because both my parents are white,0.0017,0,0.9983,image,0.5041,i'm this pretty because both my parents are white,0.0109,0,0.9891,image,0.9575,False,0.0092,-0.009199999999999986
